Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Performance Index
7.5,99,Yes,9,2,92
4.5,82,No,4,3,66
8.5,51,Yes,7,3,46
5.5,52,Yes,5,3,37
7.5,75,No,8,6,67
3.5,78,No,9,7,62
7.5,73,Yes,5,7,64
8.5,45,Yes,4,7,43
5.5,77,No,8,3,62
4.5,89,No,4,1,70
8.5,91,No,4,6,85
8.5,79,No,6,3,74
3.5,47,No,9,3,28
6.5,47,No,4,3,34
5.5,79,No,7,9,69
2.5,72,No,4,4,44
8.5,73,Yes,8,5,68
6.5,83,Yes,7,3,71
2.5,54,Yes,4,10,31
5.5,75,No,7,1,64
1.5,99,Yes,4,4,72
6.5,96,No,9,1,86
9.5,74,Yes,7,7,74
1.5,85,No,5,7,58
3.5,61,No,6,4,36
7.5,62,Yes,7,5,50
4.5,79,No,8,10,67
9.5,84,Yes,6,7,84
3.5,94,Yes,6,6,75
5.5,90,Yes,4,4,75
3.5,61,Yes,7,4,40
7.5,44,Yes,9,2,37
5.5,70,Yes,6,10,59
9.5,52,Yes,8,2,48
7.5,67,Yes,9,4,61
2.5,97,Yes,9,5,75
4.5,59,No,8,4,43
9.5,72,No,8,3,69
2.5,55,Yes,4,2,33
9.5,68,No,5,4,65
5.5,62,No,7,5,46
2.5,63,Yes,6,1,40
4.5,73,Yes,7,1,59
7.5,46,No,9,6,37
8.5,77,Yes,6,5,72
3.5,76,Yes,4,4,55
1.5,43,Yes,7,1,18
4.5,73,No,4,7,55
2.5,81,Yes,4,4,59
8.5,61,No,7,3,54
4.5,44,Yes,7,7,28
2.5,89,Yes,6,2,66
6.5,81,No,9,10,76
6.5,62,Yes,9,1,53
4.5,93,No,8,4,79
6.5,99,No,4,8,92
2.5,54,Yes,9,6,34
2.5,70,Yes,5,9,48
4.5,98,No,6,1,79
8.5,48,No,6,1,39
7.5,82,Yes,8,5,71
9.5,97,Yes,8,6,99
8.5,92,Yes,4,8,88
5.5,64,Yes,6,3,50
2.5,64,Yes,6,6,42
5.5,88,No,5,3,72
8.5,60,No,4,8,55
9.5,48,No,4,4,43
9.5,94,No,9,2,92
1.5,87,Yes,8,9,62
9.5,77,No,9,10,75
7.5,61,Yes,4,8,55
9.5,82,Yes,5,6,82
8.5,62,Yes,4,3,53
1.5,88,Yes,9,2,66
8.5,43,Yes,7,4,37
8.5,68,No,7,4,62
3.5,54,Yes,5,1,36
1.5,40,Yes,8,9,16
8.5,93,Yes,6,10,89
3.5,69,No,4,8,46
3.5,68,Yes,9,7,50
1.5,59,Yes,8,6,34
5.5,72,Yes,9,3,61
7.5,80,No,8,4,72
9.5,83,Yes,4,2,82
7.5,75,No,6,7,68
9.5,99,No,4,2,96
8.5,61,Yes,6,10,59
2.5,52,No,9,1,30
1.5,46,No,5,6,22
7.5,47,Yes,6,4,39
7.5,67,Yes,8,8,61
8.5,84,Yes,5,1,77
5.5,82,Yes,9,9,70
3.5,48,No,7,6,31
8.5,64,No,5,2,58
6.5,95,Yes,6,8,82
3.5,55,Yes,5,5,37
1.5,49,Yes,9,5,26
3.5,50,No,5,5,28
5.5,70,Yes,9,7,62
3.5,51,No,7,7,35
1.5,99,No,6,10,77
5.5,70,No,8,7,58
7.5,53,No,5,10,46
7.5,90,Yes,4,2,77
9.5,83,Yes,8,8,84
3.5,71,Yes,5,1,51
7.5,89,No,8,2,82
1.5,92,No,4,7,67
4.5,56,Yes,8,4,39
4.5,74,No,8,10,57
5.5,40,No,4,10,26
7.5,68,No,4,9,57
7.5,90,Yes,4,9,83
4.5,43,Yes,7,3,24
7.5,62,Yes,9,3,57
3.5,67,No,9,9,47
6.5,55,Yes,4,10,44
2.5,51,Yes,9,8,31
9.5,92,Yes,8,1,93
5.5,60,No,4,6,46
6.5,84,No,5,7,71
4.5,56,No,4,8,37
7.5,79,No,4,2,72
9.5,52,No,9,1,50
7.5,91,Yes,6,4,83
1.5,97,Yes,8,1,72
1.5,71,No,9,2,44
9.5,76,No,8,3,78
9.5,89,Yes,5,4,87
4.5,54,No,7,6,35
9.5,51,No,6,8,50
3.5,88,No,5,9,70
7.5,96,No,5,4,85
6.5,54,No,8,1,42
8.5,73,Yes,6,5,69
9.5,45,Yes,8,5,45
5.5,56,No,7,9,42
1.5,87,No,8,6,59
3.5,88,Yes,4,5,69
8.5,96,No,8,10,95
6.5,59,Yes,4,10,48
8.5,48,No,5,5,41
9.5,98,Yes,7,8,101
4.5,44,Yes,9,1,24
1.5,62,No,4,5,37
1.5,72,No,7,1,48
4.5,77,Yes,8,7,61
7.5,95,No,9,7,84
2.5,53,Yes,8,10,34
